rank,selection,project,issue,title,status,upvotes,downvotes,updated,url
1,globally vote-sorted,mutter,37,Separate workspaces on multiple monitors,opened,207,1,2026-08-03T08:18:20.646Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/37
2,globally vote-sorted,nautilus,1157,"Implement ""Jump to file"" feature (type ahead / type to seek)",opened,135,0,2026-01-12T14:21:44.681Z,https://gitlab.gnome.org/GNOME/nautilus/-/work_items/1157
3,globally vote-sorted,geary,53,Unified inbox,opened,92,1,2024-02-19T11:20:54.770Z,https://gitlab.gnome.org/GNOME/geary/-/work_items/53
4,globally vote-sorted,gnome-shell,5208,Ability to save screenshots to clipboard only (without saving to disk),opened,84,0,2026-05-05T23:07:25.420Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/5208
5,globally vote-sorted,geary,6,Tracking: Transparent encryption and signing with GPG,opened,75,0,2026-05-17T19:37:41.713Z,https://gitlab.gnome.org/GNOME/geary/-/work_items/6
6,globally vote-sorted,gnome-shell,4603,Top bar on all monitors,opened,71,0,2026-05-05T19:20:12.469Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/4603
7,globally vote-sorted,gnome-control-center,379,Ability to set scroll speed in system settings,opened,71,0,2026-02-09T16:08:45.252Z,https://gitlab.gnome.org/GNOME/gnome-control-center/-/work_items/379
8,globally vote-sorted,geary,1212,Port to GTK4,opened,70,0,2025-12-15T20:56:01.826Z,https://gitlab.gnome.org/GNOME/geary/-/work_items/1212
9,globally vote-sorted,gnome-shell,3867,Login controls not displayed on all screens,opened,67,0,2026-05-23T01:55:11.669Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/3867
10,globally vote-sorted,gnome-shell,5634,Rework GNOME Shell's architecture to allow restarting under Wayland without crashing / taking down the spawned apps with it,opened,54,0,2025-03-11T01:45:33.856Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/5634
11,globally vote-sorted,file-roller,4,File Roller drag'n'drop extraction to Nautilus folder is broken,opened,53,0,2025-11-21T23:58:59.643Z,https://gitlab.gnome.org/GNOME/file-roller/-/work_items/4
12,globally vote-sorted,gnome-software,942,Quit when inactive,opened,50,0,2026-01-08T16:14:10.376Z,https://gitlab.gnome.org/GNOME/gnome-software/-/work_items/942
13,globally vote-sorted,gnome-shell,225,Wrong keyboard layout in lock screen,opened,49,0,2026-05-28T12:41:49.313Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/225
14,globally vote-sorted,mutter,2517,Update for the Wayland tearing protocol,opened,48,0,2024-12-10T04:44:16.412Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/2517
15,globally vote-sorted,geary,101,"Ability to ""mark all emails as read""",opened,47,0,2023-10-08T06:18:52.090Z,https://gitlab.gnome.org/GNOME/geary/-/work_items/101
16,globally vote-sorted,mutter,673,Disable focus stealing prevention,opened,46,8,2026-07-19T15:21:03.699Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/673
17,globally vote-sorted,gtk,326,Selecting a folder to save to loses focus on file name,opened,44,0,2023-11-27T11:34:57.396Z,https://gitlab.gnome.org/GNOME/gtk/-/work_items/326
18,globally vote-sorted,gnome-shell,1590,Blur semi-transparent backgrounds in some of GNOME Shell's UI components,opened,43,0,2026-08-08T12:06:07.697Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/1590
19,globally vote-sorted,mutter,579,Snap to top and bottom (edges) too,opened,43,0,2024-10-21T04:35:45.540Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/579
20,globally vote-sorted,gnome-remote-desktop,16,Remote desktop with locked local screen,opened,40,0,2026-08-26T01:46:50.095Z,https://gitlab.gnome.org/GNOME/gnome-remote-desktop/-/work_items/16
21,globally vote-sorted,geary,85,Allow sorting/grouping conversations in the list,opened,39,0,2024-07-18T08:12:30.759Z,https://gitlab.gnome.org/GNOME/geary/-/work_items/85
22,globally vote-sorted,gnome-shell,181,OSK needs (at least the option of) modifiers (Ctrl/Alt/Super),opened,39,1,2026-01-29T19:36:48.770Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/181
23,globally vote-sorted,Initiatives,26,Port to GTK4,opened,38,0,2026-08-27T15:42:04.901Z,https://gitlab.gnome.org/GNOME/Initiatives/-/work_items/26
24,globally vote-sorted,mutter,704,Better Window Tiling,opened,38,0,2026-08-26T09:47:48.130Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/704
25,globally vote-sorted,mutter,4083,color management: support scRGB,opened,36,0,2026-03-30T15:45:20.291Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/4083
26,globally vote-sorted,gnome-control-center,2060,Add automatic and manual scheduling for light and dark theme switching,opened,36,0,2026-05-20T10:46:59.083Z,https://gitlab.gnome.org/GNOME/gnome-control-center/-/work_items/2060
27,globally vote-sorted,gnome-control-center,1209,Add per-monitor min/max brightness settings,opened,36,0,2026-02-06T18:57:30.329Z,https://gitlab.gnome.org/GNOME/gnome-control-center/-/work_items/1209
28,globally vote-sorted,gnome-extensions-app,6,Extension installation?,opened,35,0,2026-07-01T10:32:56.626Z,https://gitlab.gnome.org/GNOME/gnome-extensions-app/-/work_items/6
29,globally vote-sorted,gnome-shell,3180,An easy way to return the Application Grid positions to its default? (Gnome 3.38),opened,35,0,2025-05-25T03:45:48.802Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/3180
30,globally vote-sorted,gnome-online-accounts,102,"Cannot login to microsoft office365 ""exchange"" account with 2fa enabled",opened,35,0,2025-08-08T20:41:26.347Z,https://gitlab.gnome.org/GNOME/gnome-online-accounts/-/work_items/102
31,globally vote-sorted,mutter,478,Fractional Scaling Known issues and TODO,opened,35,0,2024-08-17T12:43:07.140Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/478
32,globally vote-sorted,glib,1026,"""Open with other application"" will set selected application as default",opened,35,0,2022-12-19T14:06:19.849Z,https://gitlab.gnome.org/GNOME/glib/-/work_items/1026
33,globally vote-sorted,libadwaita,53,Recoloring API,opened,34,0,2023-03-13T01:34:13.410Z,https://gitlab.gnome.org/GNOME/libadwaita/-/work_items/53
34,globally vote-sorted,seahorse,205,Import of certificate with seahorse does not work; Import button stays disabled,opened,34,0,2025-08-05T13:08:55.814Z,https://gitlab.gnome.org/GNOME/seahorse/-/work_items/205
35,globally vote-sorted,gnome-clocks,1,Allow that alarms also beep when gnome-clocks is not running,opened,34,0,2025-05-03T08:33:12.508Z,https://gitlab.gnome.org/GNOME/gnome-clocks/-/work_items/1
36,globally vote-sorted,gtk,6344,ListView scrolling sometimes jumps up and down when doing high-resolution scrolling,opened,33,0,2026-09-05T07:42:29.269Z,https://gitlab.gnome.org/GNOME/gtk/-/work_items/6344
37,globally vote-sorted,console,140,provide the option to change the default window size,opened,32,0,2023-04-28T09:39:06.403Z,https://gitlab.gnome.org/GNOME/console/-/work_items/140
38,globally vote-sorted,gnome-shell,4752,App grid: Allow uninstalling apps,opened,32,0,2025-05-25T03:56:58.349Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/4752
39,globally vote-sorted,gtk,3814,GTK 4 Spellcheck Support,opened,32,0,2023-09-03T07:26:26.903Z,https://gitlab.gnome.org/GNOME/gtk/-/work_items/3814
40,globally vote-sorted,gnome-system-monitor,62,Provide GPU and vRAM usage in the Resources tab's graphs and counters,opened,32,0,2026-01-03T15:20:01.463Z,https://gitlab.gnome.org/GNOME/gnome-system-monitor/-/work_items/62
41,globally vote-sorted,nautilus,443,Improve running binaries experience,opened,32,1,2024-09-29T20:07:58.331Z,https://gitlab.gnome.org/GNOME/nautilus/-/work_items/443
42,globally vote-sorted,mutter,3182,Mouse not being recorded when screencasting (Even when enabled),opened,31,0,2026-06-08T18:33:11.664Z,https://gitlab.gnome.org/GNOME/mutter/-/work_items/3182
43,globally vote-sorted,vte,2495,Add support for OSC 52,opened,31,0,2025-12-21T01:13:24.843Z,https://gitlab.gnome.org/GNOME/vte/-/work_items/2495
44,globally vote-sorted,adwaita-icon-theme,24,Include additional mimetype icons?,opened,31,0,2024-07-09T07:31:14.279Z,https://gitlab.gnome.org/GNOME/adwaita-icon-theme/-/work_items/24
45,globally vote-sorted,gnome-shell,4307,[Feature] Blurred wallpaper as overview background,opened,30,1,2025-03-19T04:26:24.628Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/4307
46,globally vote-sorted,nautilus,524,Prompt rename automatically when a new file is created from template,opened,30,0,2025-09-06T18:55:12.373Z,https://gitlab.gnome.org/GNOME/nautilus/-/work_items/524
47,globally vote-sorted,gnome-shell,5524,Ability to record system audio in video screencasts,opened,29,0,2026-08-29T06:07:11.483Z,https://gitlab.gnome.org/GNOME/gnome-shell/-/work_items/5524
48,globally vote-sorted,gnome-calendar,272,"More flexible event recurrence UI (repeat every X number of days/weeks/months/years, specific days of the week or month, etc.)",opened,29,0,2026-05-05T13:54:07.585Z,https://gitlab.gnome.org/GNOME/gnome-calendar/-/work_items/272
49,globally vote-sorted,gnome-software,313,Can't zoom in on screenshots,opened,29,0,2026-04-06T05:07:57.332Z,https://gitlab.gnome.org/GNOME/gnome-software/-/work_items/313
50,globally vote-sorted,gnome-control-center,2516,New design for fractional scaling setting,opened,28,1,2026-01-16T09:49:54.671Z,https://gitlab.gnome.org/GNOME/gnome-control-center/-/work_items/2516
51,verified current selection; not globally vote-sorted,nautilus,2978,"""Open in Console"": choose which terminal application to open",opened,22,0,2026-09-10T20:42:43.127Z,https://gitlab.gnome.org/GNOME/nautilus/-/work_items/2978
52,verified current selection; not globally vote-sorted,gnome-control-center,3374,Default Apps: Add Terminal,opened,16,0,2026-09-10T20:43:20.726Z,https://gitlab.gnome.org/GNOME/gnome-control-center/-/work_items/3374
53,verified current selection; not globally vote-sorted,vte,2601,Implementing the Kitty keyboard protocol,opened,15,0,2026-09-10T21:44:28.135Z,https://gitlab.gnome.org/GNOME/vte/-/work_items/2601
54,verified current selection; not globally vote-sorted,gtk,5384,Cannot use keyboard shortcut Ctrl+Shift+N to create new folder on non-Latin keyboard layouts,opened,15,0,2026-09-10T18:08:46.134Z,https://gitlab.gnome.org/GNOME/gtk/-/work_items/5384
55,verified current selection; not globally vote-sorted,gnome-bluetooth,13,Allow editing device name for display,opened,11,0,2026-09-08T07:09:05.230Z,https://gitlab.gnome.org/GNOME/gnome-bluetooth/-/work_items/13
56,verified current selection; not globally vote-sorted,gnome-calendar,98,"Ability to set / configure (or auto-remember) per-calendar default reminder alarm time delays, for newly created or imported ical events",opened,10,0,2026-09-11T16:19:18.452Z,https://gitlab.gnome.org/GNOME/gnome-calendar/-/work_items/98
57,verified current selection; not globally vote-sorted,nautilus,1936,Use zst compression instead of xz,opened,9,0,2026-09-11T16:37:43.714Z,https://gitlab.gnome.org/GNOME/nautilus/-/work_items/1936
58,verified current selection; not globally vote-sorted,gnome-autoar,29,Multiple threads support for (de)compression,opened,7,0,2026-09-11T14:41:17.303Z,https://gitlab.gnome.org/GNOME/gnome-autoar/-/work_items/29
